code (Eng);subcode (Eng);code (fr);sous-code (fr);code #;subcode #;subsubcode #;short;court;ref#;jpg;video;date;comment;English;français;core;Toro Tegu (Toupere, JH);Ben Tey (Beni, JH);Bankan-Tey (Walo, JH);Nanga (Anda, JH);Donno So;Jamsay (alphabet);Jamsay (Douentza area, JH);Perge Tegu (Pergué, JH);Gourou (Kiri, JH);Jamsay (Mondoro, JH);Togo-Kan (Koporo-pen, JH with BT);Yorno So (Yendouma, JH);Tomo Kan (Segue);Tomo Kan (Diangassagou);Tommo-So (JH);Tommo-So (Tongo Tongo, LM);Dogul Dom (Kundialang, JH);Dogul Dom (Bendiely & Kundialang, BC);Tebul Ure (JH);Yanda Dom (Yanda, JH);Najamba (Kubewel-Adia, JH);Tiranige;Mombo (Songho, KP);Ampari (Nando, KP);Bunoge (Boudou);Penange (Pinia);@;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;inanimate sound;son;son inanimé;122;10;11;ring;sonnerie;06154;;;old;;ringing (of new earthenware waterjar);sonnerie (d'un nouveau canari en terre cuite);2;te?nde??;;;;;;;;;;k???-k???-k???;t??y?-t??y?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;dog/cat sound;son;cri de chien/chat;122;11;1;miao;miao;06155;;;old;;miao (sound of cat);miao (son du chat);3;w?a?:?;;?e?w??;?a?wo??;;;;?a?wo??m?;;;????w??;mi?y?a?:w?;;;;?a?o?\\?a?o?;;?a?o?;;;?a?:wo??-?a?:wo??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;dog/cat sound;son;cri de chien/chat;122;11;2;bark;aboyer;06156;;;old;;(dog) bark;(chien) aboyer;1;bo?go? bo?gu?\\bo?go?;bo?gu? bo?go?;bo?: bo?:;bo?gi? bo?go?;;bogubogo;bo?gu? bo?go?;bo?gu? bo?go?;;;bo?gu? bo?go?;bo?gu? bo?go?-\\bo?go?;;;;bo?go?;;k??m??;;bo?gu? bo?go?;bo?gi?, bo?gi?-n bo?gi?;wo?gu? w??g??;bo?gu? bo?ge?;;bu?ge?;bu?g?? bu?g??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;dog/cat sound;son;cri de chien/chat;122;11;3;bark;aboyer;06157;;;old;;(dog) bark (verb only);(chien) aboyer (verbe seulement);1;bo?gu?\\bo?go?;bo?go?;bo?:;bo?go?;;bogo;bo?go?;bo?go?;bo?go?;;bo?go?;bo?go?-\\bo?go?;;;;bo?go?;;k??m??;;bo?go?\\bo?go?-li?;bo?gi?;w??g??;b??g??;;;bu?g??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;dog/cat sound;son;cri de chien/chat;122;11;4;bark;aboiement;06158;;;old;;barking (of dog);aboiement (de chien);1;bo?go?;bo?gu?;bo?:;bo?gi?;;bogu;bo?gu?;bo?gu?;;;bo?go?;bo?gu?;;;;bo?gi?-ye?;;;;bo?gu?;bo?gi?-n;wo?gu?;bo?gu?;;;bu?g??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;dog/cat sound;son;cri de chien/chat;122;11;5;bark;aboyer;06159;;;old;;bow-wow! (dog's barkiing);oua-oua! (aboiement du chien);2;wo?w-wo?w;wo?w-wo?w;wo?w-wo?w;wo?w-wo?w;;wowwow;wo?w-wo?w;wo?w-wo?w, h??w-h??w;;;w??w;wo?w-wo?w;;;;wo?-wo?;;wa?o?-wa?o?;;wo?w-wo?w;wu?:-wu?:;;wo?w-wo?w;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;dog/cat sound;son;cri de chien/chat;122;11;6;yelp;japper;06160;;;old;;(dog) yelp;(chien) japper;2;[wo?y? wo?y?] ka?r?u?\\ka?r?a?;pi?ye?: pi?ye?;pi?ye?;ko?yo?;;pepe;pe?: pe?:;ko?yo?;;;;pi?:;;;;ha?y?-ha?y? ka?na?;;;;ko?do?\\ko?do?-li?, wo?? gu?n;h???-h??? ka?n\\ka?ne?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;dog/cat sound;son;cri de chien/chat;122;11;7;howl;hurler;06161;;;old;;(dog) give out a howl;(chien) émettre un hurlement;2;yi?\\y??;;lo?:ro? lo?:ro?;gu?:ndi? gu?ndo?;;;;[ya?r-ku?:]-bo?:lu? bo?:lo?;;;;pi?:;;;;ko?o?do?o? ko?o?do?;;;;ko?du? ko?do?;i?ni?-y\\i?ni?-ye?;;k??m?? k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;dog/cat sound;son;cri de chien/chat;122;11;8;howl;hurler;06162;;;old;;(dog) howl, bay (verb only);(chien) hurler (verbe seulement);2;;;lo?:ro?;gu?ndo?;;;;bo?:lo?;;;;pi?:-\\pi?:;;;;ko?o?do?;;;;ko?do?\\ko?do?-li?;i?ni?-y\\i?ni?-ye?;;k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;dog/cat sound;son;cri de chien/chat;122;11;9;howl;hurlement;06163;;;old;;howling, baying (of dog);hurlement (du chien);2;wo?? wo??;;lo?:ro?;gu?:ndi?;;;;[ya?r-ku?:]-bo?:lu?;;;a?wu??;wo?w-wo?w;;;;i?se? ko?o?do?o?;;;;ko?du?;;;i?nj?? k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;livestock sound;son;cri de bétail;122;12;1;bleat;bêler;06164;;;old;;(sheep, goat) bleat;(mouton, chèvre) bêler;1;yi?\\y??;y??: y??;y??: y??;ko?yo? ko?yo?;;pepe,??;pe?: pe?:, ??:?;ko?yo?;;;ka?? ku?n?;pi?:;;;;pi?ye?;;k??m??;;ko?do?\\ko?do?-li?;ba?ri?-y?? ko?r\\ko?re?;;k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;livestock sound;son;cri de bétail;122;12;2;bleat;bêler;06165;;;old;;bleating (of goat, sheep);bêlement (de chèvre, de mouton);1;y??;y??:;y??:;ko?yo?;;pe;pe?:;ko?yo?;;;;xxx;;;;pi?ye?;;;;ko?du?;;;k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;livestock sound;son;cri de bétail;122;12;3;bleat;bêler;06166;;;old;;baa (sound of sheep bleating);baa (son du mouton qui bêle);3;m?ba??;m?ba??;m?ba??;ma?:;;mba;m?ba??;m?bæ??;;;ba?a??;ba??;;;;ba?????;;b??????;;b???;m?ba??;;m?ba?a?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;livestock sound;son;cri de bétail;122;12;4;bleat;bêler;06167;;;old;;(sound of goat bleating);(bêlement d'une chèvre);3;m?be??;m?be?:y;m?b???;mo?:, me?:;;mu;mu?:;mæ??;;;m?????;m???;;;;be?e?e?, m??????;;b??????;;me??y;m???;;u?na? k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;livestock sound;son;cri de bétail;122;12;5;moo, low;meugler;06168;;;old;;(cow) moo, low;(vache) meugler;3;yi?\\y??;y??: y??, y??;y??: y??;ko?yo?;;pepe;pe?: pe?:;ko?yo?;;;ka?? ku?n?;pi?:-\\pi?:;;;;pi?ye?;;k??m??;;ko?du? ko?do?;ba?ri?-y?? ko?r\\ko?re?;;k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;livestock sound;son;cri de bétail;122;12;6;moo, low;meugler;06169;;;old;;mooing (of cattle);meuglement (de bétail);3;y??;y??:;y??:;ko?yo?;;pe;pe?:;ko?yo?;;;;pi?:;;;;pi?ye?;;;;ko?du?;;;k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;livestock sound;son;cri de bétail;122;12;7;moo, low;meugler;06170;;;old;;moo (sound of cow lowing);mou (son de la vache qui meugle);3;mu?:?;mu?:??;m????;u?y??;;mb?;m?b???;ma??;;;mo?:?;mu??;;;;m??????;;mbu?u?u?;;m:u?:?;mu?:, m??:;;m?:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;livestock sound;son;cri de bétail;122;12;8;bray;braire;06171;;;old;;(donkey) bray;(âne) braire;3;yi?\\y??;y??: y??, y??;y??: y??;ko?yo?;;pepe,??;pe?: pe?:, ??:?;ko?yo?;;;ka?? ku?n?;k??:?-\\k??:?;;;;k??m??;;k??m??;;ko?du? ko?do?;ba?ri?-y?? ko?r\\ko?re?;;k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;livestock sound;son;cri de bétail;122;12;9;neigh;hennir;06172;;;old;;(horse) neigh;(cheval) hennir;3;;;;;;;;ka??u?r?u? ka??a?r?a?;;;ka?? ku?n?;pi?:-\\pi?:;;;;ki?m??;;k??m??;;ko?du? ko?do?;hi?:k??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;livestock sound;son;cri de bétail;122;12;10;bellow;mugir;06173;;;old;;(billy-goat in rut) bellow;(bouc en rut) mugir, bêler;1;bo?gu?\\bo?go?, bo?go? bo?gu?\\bo?go?;bo?gu?ru? bo?go?ro?;hu?:ba? ka??;bo?go?ro? bo?go?ro?, bo?go?ro?;;bogoro,bogurubogoro;bo?go?ro?, bo?gu?ru? bo?go?ro?;bo?gu?ru? bo?go?ro?;;;bo?gu?ru? bo?gi?ri?\\bo?go?ro?;bo?gu?ru? bo?go?ro?-\\bo?gu?ru?;;;;bo?go?lo? bo?go?lo?;;;;bo?:do?\\bo?:do?-li?;be?bi?l-u?: be?bi?l;hu?bi? ka?n(u?);k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;livestock sound;son;cri de bétail;122;12;11;bellow;mugissement;06174;;;old;;bellowing (of billy-goat in rut);mugissement, bêlement (de bouc en rut);1;bo?go?;bo?go?ro?;hu?:ba?;bo?go?ro?;;boguru;bo?gu?ru?;bo?gu?ru?;;;bo?gu?ru?;bo?gu?ru?;;;;bo?go?lo?;;;;bo?:du?;be?bi?l-u?:;;k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;livestock sound;son;cri de bétail;122;12;12;bellow;beugler;06175;;;old;;(bull) bellow;(taureau) beugler;1;bo?go? bo?gu?\\bo?go?;du?ru? du?ro?;hu?:ba? ka??;du?ri? du?ro?;;duruduro;du?ru? du?ro?;du?ru? du?ro?;;;;pi?:-\\pi?:;;;;pi?ye?;;k??m??;;bo?:du? bo?:do?;be?bi?lu?: be?bi?l;hu?bi? ka?n(u?);k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;livestock sound;son;cri de bétail;122;12;13;gurgle;gronder, gargouiller;06176;;;old;;(camel) make a gurgling sound (before biting);(chameau) gronder légèrement, gargouiller (avant de mordre);2;;;xxx;gu?t??;;gut?;gu?t??;gu?dd??;;;;;;;;;;;;;xxx;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;livestock sound;son;cri de bétail;122;12;14;bellow;mugissement;06177;;;old;;bellowing (of male camel in rut);mugissement (de bouc ou de chameau mâle en rut);3;b??gu?ru?;;hu?:ba?;bo?go?ro?;;;;;;;;xxx;;;;;;;;;;;k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;livestock sound;son;cri de bétail;122;12;15;bray;braire;06178;;;old;;hee-haw (sound of donkey braying);(son de l'âne qui brait);3;ha?w?-ha?w?;h??:y??;h??y??;ka?:?i?? ka?:?i??;;h?y?;h??:y??;ha??? ha???;;;h??y? h??y?;ha?:?gi?ri?;;;;h???-gi?-h???-gi?;;;;ha?:?gi?:?-ha?:gi?:?;ha?:??, ha?:?-ki?:?;;k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;wild animal sound;son;cri d'animal sauvage;122;13;1;roar;rugir;06179;;;old;;(lion, leopard) roar;(lion, panthère) rugir;1;b??gu?ru? b??gu?ru?\\b??gu?r??;k??:r??? ga?y?;k??mu?r??? ga??;g??r??nd?? g??r??ndi?;;b?gurub?g?r?;b??gu?ru? b?????r??;be?gi?ri? be?gi?re?;;bo?gu?ru? bo?go?ro?;du?ru? du?ro?;pi?:;;;;ni?nn??, pi?ye?;;;;bo?gu?ru? bo?gu?ro?\\bo?gu?ro?-li?;ba?ri?-y?? ko?r\\ko?re?;k??m??;k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;wild animal sound;son;cri d'animal sauvage;122;13;2;roar;rugir;06180;;;old;;(lion, leopard) roar (verb only);(lion, panthère) rugir (verbe seulement);1;;;;g??r??ndi?;;b?g?r?;b?????r??;be?gi?re?;;bo?go?ro?;du?ro?;pi?:-\\pi?:;;;;ni?nn??, pi?ye?;;;;bo?gu?ro?\\bo?gu?ro?-li?;;k??m??;k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;wild animal sound;son;cri d'animal sauvage;122;13;3;roar;rugir;06181;;;old;;(hyena) roar;(hyène) rugir;2;b??gu?ru? b??gu?ru?\\b??gu?r??;k??:r??? ga?y?;k??mu?r??? ga??;du?ri? du?ro?;;pepe;pe?: pe?:;;;;ka?? ku?n?;pi?:-\\pi?:;;;;pi?ye?;;;;bo?gu?ru? bo?gu?ro?\\bo?gu?ro?-li?;ba?ri?-y?? ko?r\\ko?re?;k??m??;k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;wild animal sound;son;cri d'animal sauvage;122;13;4;roar;rugissement;06182;;;old;;roaring, roar (of lion, leopard, hyena);rugissement (de lion, de panthère, d'hyène);2;b??gu?ru?;k??:r???;k??mu?r???;;;b?guru;b??gu?ru?;be?gi?ri?;;bo?gu?ru?;du?ru?;pi?:;;;;pi?ye?;;;;bo?gu?ru?;;;k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;wild animal sound;son;cri d'animal sauvage;122;13;5;trumpet;barrir;06183;;;old;;(elephant) trumpet, roar;(éléphant) barrir;2;mi?ra? t??w\\t??wa?;k??:r??? ga?y?;k??mu?r??? ga??;du?ri? du?ro?;;b?g?r?,b?gurub?g?r?,duro;b?????r??, b??gu?ru? b?????r??, du?ro?;gu??u?r?u? gu??u?r?o?;;;s??mu? ku?n?;pi?:;;;;;;;;;ga?l ga?li?-y??;;k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;wild animal sound;son;cri d'animal sauvage;122;13;6;trumpet;barrissement;06184;;;old;;roar, trumpeting (of elephant);barrissement (d'éléphant);2;mi?ra? ~ m?bi?ra?;k??:r???;k??mu?r???;du?ri?;;b?guru,duru;b??gu?ru?, du?ru?;gu??u?r?o?;;;s??mu?;pi?:;;;;;;;;;ga?l;;k??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;wild animal sound;son;cri d'animal sauvage;122;13;7;murmur;murmurer;06185;;;old;;(elephant) murmur softly;(éléphant) murmurer;2;;;xxx;gu?t??;;gut?;gu?t??;ka??u?r?u? ka??a?r?a?;;;;pi?:;;;;;;;;;xxx;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;wild animal sound;son;cri d'animal sauvage;122;13;8;croak;coasser;06186;;;old;;(sound of bullfrog croaking);(son de la grenouille mâle qui coasse);3;g??:?-g??:?;k??? k???;g??:?-ga?:?-g??:?;b??:? b??:?;;?k?k;??:k ??:k;g???? g????;;;??:? ??:?;w??? wa??;;;;?????-?????-?????;;;;w??:?-wa?:?-w??:?;k??:-k??:;;?? : ??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;wild animal sound;son;cri d'animal sauvage;122;13;9;croak;coasser;06187;;;old;;(sound of toad croaking);(son du crapaud qui coasse);3;k??:k-k??:k;k??:-ka?:-k??:;g??:?-ga?:?-g??:?;??:-a?: ??:;;k?kak?;k??:-ka?:-k??:;k??:? k??:?;;;???? a???;???? a???;;;;t??????-t??????;;;;;k??:-ka?:-k??:;;?? : ??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;bird sound;son;chant d'oiseau;122;14;1;crow;chanter;06188;;;old;;(sound of rooster crowing) cock-a-doodle-do;(chant du coq le matin) cocorico;3;ko?ko?r?i?y?o?-k??:?;ko?-ko?:ro?-ko??;ko?ko?ri?ye?-ko??;ko?ko?:-ko??, ko?ko?ro?-ko??;;kokoriko;ko?ko?ri?-ko?:;ko?ko?ro?;;;ku?ku?:ru?-ku?:;ke?ke?:re?-ke??;;;;ke??ge?re?-ke?e?, ko??go?ro?-ko?o?;;;;ko??go?ro?-ko??;ko?ko?ri?yo?-ko?:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;bird sound;son;chant d'oiseau;122;14;2;rooster, crow;coq, chanter;06189;;;old;;(rooster) crow, call out cock-a-doodle-do;(coq) chanter le matin, faire cocorico;3;ko?r?i?y?\\ko?r?i?y?o?;ko?go?ro? ga?y?;xxx;ko?ko?ro?-ko?:;;;;ko?ko?ro? ko?ko?ro?;;;ka?? ku?n?;k??:?-\\k??:?;;;;;;;;ko??o?li-ye?\\ko??o?li?-ye?-li?;xxx;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;bird sound;son;chant d'oiseau;122;14;3;dove;tourterelle;06190;;;old;;(call of laughing dove);(voix de la tourterelle maillée);3;ku?rku?tu?:;ku?rku?tu?;tu?tu?ri?tu??;tu?tu?:ru?-tu?tu?;;kurkutu;ku?rku?tu?;ku?rku?tti?:;;;ku?ru?ku?tu?;ku?lu?:ru?;;;;ku?-ku?ru?-ku?u?, gu?-gu?ro?bu?;;;;;ku?rku?tu?:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;bird sound;son;chant d'oiseau;122;14;4;pigeon;pigeon;06191;;;old;;(call of speckled pigeon);(voix du pigeon de Guinée);3;ku?ru?gu?gu?:;;;;;gumogumo;gu?mo?-gu?mo?;;;;;xxx;;;;wu?u?u?;;;;;gu?du?-gu?du?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;bird sound;son;chant d'oiseau;122;14;5;pigeon;pigeon;06192;;;old;;(call of rock pigeon);(voix du pigeon des rochers);3;ku?:-ku?:-ku?:;;;ju??gu?du?-ju??gu?du?;;;;;;;;ku?lu?:ru?-lu?m? ;;;;wu?u?u?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;bird sound;son;chant d'oiseau;122;14;6;coo, squawk;roucoulade, gloussement;06193;;;old;;(hen, guinea-fowl) coo or squawk lightly (while laying egg);(poule, pintade) pousser des roucoulades ou des gloussements doux (en pondant);3;sa?r?a? sa?r?u?\\sa?r?a?;ka??i?r?i?;ka?:r?i?;ka??i?r?i?;;ka?ar?a;ka??a?r?a?;ka??a?r?a?;;;k??-k??-k??-k??;ka??a?ra?-\\ka??u?ru?;;;;ta?lu? ka??gi?-r??;;;;ka?:nd??\\ka?:nda?-li?, ka??gi?r??\\ka??gi?ra?-li?;;;nu?ze?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;bird sound;son;chant d'oiseau;122;14;7;chirp;chanter;06194;;;old;;(sound of small birds chirping);(son des petits oiseaux qui chantent);3;ci?-ci?-ci?k;si?w?-si?w?;si?w-si?w;si?w?-si?w?;;siw?;s?i?w?;s??y-sa?y-s??y;;;ci?:?-ca?:?;s??:y-sa?:y-s??:y;;;;i?i?-i?i?-i?i?;;;;s??y-sa?y-s??y;si?:?-si?:?, to?:-to?:, ci?m-ci?m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;deaf;son;sourd;122;15;1;deaf, mute;sourd, sourd-muet;06195;;;old;;deaf-mute, deaf person who communicates by gestures;sourd-muet, personne sourde qui communique avec des gestes;1;mu?ke?y\\-ma?:;mu?:ma?-m\\mu?:ma?;mu?:ma?-m\\mu?:ma?;mu?:ma?;mu?:mu?-gi?-n??;mumon;mu?:mo?-n;mu?:ma?-n;;mu?:mo?-n;mu?:m??;mu?:m??-n??;;;;mu?u?m??;;;;mu?:ma?;be?be?\\be?be?-mbo?;mu?:ma?;n?da? mu?:ma?;;mu?:ma?;ba?bo?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;deaf;son;sourd;122;15;2;deaf, mute;sourd, sourd-muet;06196;;;old;;deaf-mute, deaf (adjective);sourd-muet, sourd (adjectif);1;;;;mu?:ma?;;mumo;mu?:mo?;mu?:ma?-n;;;;mu?:m??;;;;mu?u?m??;;;;mu?:ma?;;;mu?:ma?:?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;deaf;son;sourd;122;15;3;deafness;surdité;06197;;;old;;(full or partial) deafness, being hard of hearing;surdité, fait d'ê. plus ou moins sourd;1;pa?m;pa?w;pa?w;da??;;paw;pa?w;pa?w;;;;ga?w?, pa?m?;;;;su?gu?lu? pu?du?, mu?u?m??;;;;;tu?gu?ma?-n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;deaf;son;sourd;122;15;4;deaf, mute;sourd, sourd-muet;06198;;;old;;be or become a deaf-mute;ê. ou devenir sourd-muet;1;mu?ku?\\mu?ko?;mu?:m??;mu?:ma? ta??gi?, mu?:mi?;mu?:ma? ta??i?;;mumonta?a;mu?:mo?-n ta??a?;mu?:m??;;;mu?:m?? ta??a?;mu?:m?? ta??a?;;;;mu?u?m?? bi?l??;;;;;be?be?y ka?n\\ka?ne?;;mu?:ma?:? bi?le?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;deaf;son;sourd;122;15;5;deaf;sourd;06199;;;old;;person who is more or less deaf or hard of hearing (but can vocalize);personne plus ou moins sourde (mais capable de vocaliser);1;pa?m-nu?\\pa?m-mu?;pa?w-m\\pa?w-y??;pa?w-m\\pa?w;a?-da??;;pawgin;pa?w-gi?-n;pa?w-gu?-n;;mu?:mo?-n da?la?wa?n;su?gu?ru?-du??u?;xxx;;;;n?d?? su?gu?lu? pu?du?;;;;;tu?gu?ma?\\tu?gu?ma?-mbo?;du?gu?;;;;bu?ru?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;deaf;son;sourd;122;15;6;deaf;sourd;06200;;;old;;become more or less deaf or hard of hearing;devenir plus ou moins sourd;1;pa?m\\pa?:?;pa?w-gi?;pa?w ta??gi?;da?? ta??i?;;pawta?a;pa?w ta??a?;pa?w ta??ga?;;;;pa?m? ka?r?a?;;;;pa?w ta??a?, su?gu?lu? pu?du? ta??a?;;;;;be?be?y ka?n\\ka?ne?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;deaf;son;sourd;122;15;7;deaf;sourd;06201;;;old;;person who has become totally deaf (due to illness) but can speak;personne qui est devenu totalement sourd (dû à la maladie) mais qui sait parler;2;;;;;;mumondalawan;mu?:mo?-n da?la?wa?-n;;;;;xxx;;;;n?d?? su?gu?lu? ??ge?-le?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
smell;odor;olfaction;odeur;123;1;1;odor, smell;odeur;06202;;;old;;odor, smell (noun);odeur;1;l??g??;ji?:?;gi?y???;gi?:?;ji??u?;ji?u;ji??u?;ji??gi?;gi?su?;ji??u?;ji??i?;ji??u?;;;;ji???u?;;ji??u?;;gi??u?;gi?mbo?\\gi?mbe?;ku?ja?je?;gi?y?i?;;?i??u?;gi?:?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
smell;odor;olfaction;odeur;123;1;2;smell;odeur;06203;;;old;;emit an odor;émettre une odeur, puer;1;l??gu?\\l??g?? (especially rotten odor);gi?y?i?;gi?y???;gi?:-y?i?;;ji?ukar?a,ji?e;ji??u? ka?r?a?, ji??e?;ji??ge?;;;ji??i? ji??e?;??m?? xxx[chaining];;;;???m ni?y??;;ji??u? ku?nde?;;;gi?mbo? gi??\\gi??e?;;gi?y?i?, gi?:y?i?;;?i??i?;gi?:y?i?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
smell;odor;olfaction;odeur;123;1;3;stink;puer;06204;;;old;;stink, smell bad;puer;1;se??u?\\se??o?;g??w???;g??m??;g??mi?-y?i?;;?y?;??y??;??mbu?-k??;;;;??m??;;;;???m ni?y??;;ji??u? ku?nde?;;gi??e?\\gi??e?-li?;g??m??;;g??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
smell;odor;olfaction;odeur;123;1;4;stink;puer;06205;;;old;;cause to stink;faire puer;3;;g??w???-w?u?;g??m??-mi?;g??m??-mi?;;;;;;;;xxx;;;;????u?-nd??;;;;;;;g??ma?mi?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
smell;odor;olfaction;odeur;123;1;5;odor, smell;odeur;06206;;;old;;strong (odor);(odeur) fort;2;;po?ru?m;;po?ri?;;;;;;;;ji??u? m???u?;;;;s??mb?? s??;;;;p??lya?m;;;ya?:ra?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
smell;odor;olfaction;odeur;123;1;6;stink;puer;06207;;;old;;(sth or sb previously good-smelling) become slightly bad-smelling;(qch ou qn qui sentait bon avant) commencer à sentir mauvais;2;;;;pi?we?-ndi?ye?;;;;;;;;ji??-??:-\\ji??-i?:;;;;ji?????-ni t??l??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
smell;odor;olfaction;odeur;123;1;7;stink;puer;06208;;;old;;(sth, sb) beginning to smell bad (adverb);(qch, qn) qui commence à sentir mauvais (adverbe);2;;pi?w?;;;;;;;;;;xxx;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
smell;odor;olfaction;odeur;123;1;8;stink;puer;06209;;;old;;foul, stinking (odor);(odeur) mauvais, puant;2;;g??m;g??mu?;g??mi?;;n?m;n??m;;;;m???u?;??mu?;;;;???m;;;;g??m;g??m-go?;;mo?li?ga?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
smell;odor;olfaction;odeur;123;1;9;foul, stink;puer;06210;;;old;;foul, stinking (intensifier);puant, à mauvaise odeur (intensif);2;g??m-g??m;g??m??m??;xxx;po?ro?ndo?ndo?;;;xxx;xxx;;;;ga?ma?ma?ma?;;;;du?gu?-du?gu?-du?gu?;;;;g??m??m??m??;;;g??m??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
smell;odor;olfaction;odeur;123;1;10;stink;puer;06211;;;old;;odor of urine (e.g. dirty clothing);odeur de l'urine (vêtements sales, etc.);2;se??;;;k??y?;;;ji??u? n??m;;;;;k???m;;;;k?????m;;;;;ku?ja?ja?-m?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
